epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,6070.59,1.13103,0.70466,1.31227,0.86532,0.85986,0.89658,0.54348,1.3343,0.72897,1.63781,0.0009308,0.0009308,0.0009308
56,6178.26,1.13739,0.68232,1.30677,0.898,0.85091,0.88674,0.53237,1.35584,0.75573,1.70002,0.000911,0.000911,0.000911
57,6287.38,1.14067,0.68153,1.30268,0.88159,0.83643,0.88985,0.53978,1.33787,0.77203,1.66725,0.0008912,0.0008912,0.0008912
58,6421.54,1.11854,0.66258,1.30434,0.93229,0.81892,0.90463,0.52285,1.30599,0.74584,1.6542,0.0008714,0.0008714,0.0008714
59,6548.74,1.13629,0.65529,1.29091,0.92379,0.7881,0.8852,0.51804,1.34023,0.77856,1.69233,0.0008516,0.0008516,0.0008516
60,6649.24,1.12094,0.66782,1.28833,0.88527,0.84387,0.89449,0.52758,1.35828,0.75617,1.69521,0.0008318,0.0008318,0.0008318
61,6752.41,1.10773,0.65676,1.28348,0.9051,0.8513,0.89425,0.52934,1.37977,0.74797,1.71662,0.000812,0.000812,0.000812
62,6861.11,1.11397,0.67728,1.29662,0.84919,0.85825,0.88373,0.53081,1.37326,0.73887,1.71348,0.0007922,0.0007922,0.0007922
63,6971.37,1.11728,0.68247,1.29589,0.91512,0.79926,0.87797,0.52971,1.3475,0.7357,1.68973,0.0007724,0.0007724,0.0007724
64,7086.82,1.07664,0.61978,1.26552,0.88692,0.83643,0.88588,0.52552,1.36541,0.72185,1.69083,0.0007526,0.0007526,0.0007526
65,7215.02,1.09223,0.64958,1.27994,0.89562,0.82528,0.89434,0.5392,1.33028,0.72545,1.67838,0.0007328,0.0007328,0.0007328
66,7317.03,1.05749,0.64238,1.26445,0.90127,0.84843,0.89959,0.54033,1.33949,0.70247,1.67328,0.000713,0.000713,0.000713
67,7439.3,1.07883,0.63119,1.27267,0.88609,0.8513,0.89408,0.5371,1.37464,0.70297,1.70573,0.0006932,0.0006932,0.0006932
